framenr,mean,std,threshold,score,distance
2074,0.012383899556296244,0.00482606397369963,0.017209963529995875,14.2,7.0
2075,0.012263410653658342,0.0036564453576946516,0.015919856011352995,1.8695652173913044,3.5
2076,0.012525153543907826,0.004462824758138807,0.01698797830204663,6.5,3.5
2077,0.012078130513513766,0.003939725014189171,0.01680580053054077,6.666666666666667,4.949747468305833
2078,0.01337755767433432,0.006429500834867829,0.019807058509202148,9.666666666666666,4.949747468305833
2079,0.014051472972457457,0.008275640537128315,0.022327113509585772,9.428571428571429,7.0
2080,0.012678429226749059,0.005334399250418062,0.01801282847716712,12.666666666666666,7.0
2081,0.01232890970712214,0.004398408288507655,0.016727317995629792,17.11111111111111,3.5
2082,0.01294719067101548,0.0048670977113242555,0.017814288382339734,9.923076923076923,3.5
2083,0.012647862753442811,0.005096728236563227,0.01774459099000604,6.1,4.949747468305833
2084,0.012849336977616917,0.005481269055223109,0.018330606032840025,0.2222222222222222,3.5
2085,0.014777405292734788,0.008089868492926231,0.02286727378566102,5.75,3.5
2086,0.013903870993314634,0.007621887058844049,0.021525758052158683,1.1428571428571428,4.949747468305833
2087,0.013042913465848394,0.005622736594501388,0.018665650060349783,9.1,3.5
2088,0.01280572433861676,0.0055166815060673615,0.01832240584468412,2.2222222222222223,4.949747468305833
2089,0.013102649407282362,0.005969761972029785,0.01907241137931215,-4.2,3.5
2090,0.012798746763418394,0.005712483426995363,0.018511230190413758,12.166666666666666,7.0
2091,0.0123649934195468,0.004883858700221366,0.017248852119768166,12.25,4.949747468305833
2092,0.01361486973802166,0.007371750510250319,0.020986620248271977,9.666666666666666,4.949747468305833
2093,0.014056189261940175,0.00764978640723564,0.021705975669175814,7.375,4.949747468305833
2094,0.013375400698338664,0.005672721805260187,0.01904812250359885,-4.3,3.5
2095,0.014091993573329128,0.006759351543759061,0.020851345117088187,-1.6666666666666667,3.5
2096,0.013304380680409317,0.006308518089173787,0.019612898769583102,6.833333333333333,7.0
2097,0.01226811204175249,0.0038331187291151454,0.01648454264377915,7.25,3.5
2098,0.012111315905861364,0.004098615678902933,0.016209931584764296,2.9444444444444446,3.5
2099,0.012838898554922934,0.00505584723300345,0.017894745787926384,5.6,3.5
2100,0.012641201832751574,0.005317267832638107,0.017958469665389682,-26.5,3.5
2101,0.012693315713931478,0.004692578574356068,0.017385894288287546,4.916666666666667,3.5
2102,0.013268185207570372,0.006153056410351067,0.01942124161792144,9.2,4.949747468305833
2103,0.012385892617017615,0.005203644528986664,0.01758953714600428,5.0,7.0
2104,0.012979366494287395,0.0056585500997120165,0.01863791659399941,3.0,3.5
2105,0.013394299384393828,0.007248450131472044,0.020642749515865873,12.166666666666666,3.5
2106,0.012759425724326687,0.00592100150136686,0.018680427225693547,3.3333333333333335,4.949747468305833
2107,0.012907929237478057,0.005306209028379296,0.018214138265857355,-3.7777777777777777,4.949747468305833
2108,0.012105932779240092,0.004055546589665974,0.016161479368906065,-3.4285714285714284,3.5
2109,0.01271217342116807,0.006291583416213997,0.019003756837382067,4.333333333333333,3.5
2110,0.01229004316038185,0.004398065286510447,0.016688108446892298,5.909090909090909,4.949747468305833
2111,0.012876859842307539,0.0053899457134759165,0.018266805555783455,8.222222222222221,4.949747468305833
2112,0.012831745888408857,0.005168391104091272,0.01800013699250013,10.9,3.5
2113,0.01258969518315594,0.004277854957316878,0.016867550140472816,4.133333333333334,4.949747468305833
2114,0.012233209264372083,0.0037488763742110605,0.01635697327600425,2.3125,3.5
2115,0.012518734770780873,0.006450028683407522,0.018968763454188395,8.166666666666666,3.5
2116,0.013258849487630646,0.007992191597585366,0.021251041085216013,0.0,3.5
2117,0.012819288327563507,0.005964953433502882,0.01878424176106639,9.333333333333334,4.949747468305833
2118,0.012750827623121224,0.005507245182264613,0.018258072805385838,13.222222222222221,4.949747468305833
2119,0.012171651628185311,0.00413704407601745,0.01630869570420276,1.8888888888888888,4.949747468305833
2120,0.013221547586690308,0.005972053457632787,0.019193601044323095,3.5,4.949747468305833
2121,0.01276192170691233,0.004661810675592853,0.017423732382505185,5.666666666666667,3.5
2122,0.012465071145189584,0.004863401794322115,0.0173284729395117,5.2,4.949747468305833
2123,0.01252959043235484,0.004821104756735437,0.017350695189090277,0.9,3.5
2124,0.012252704005970082,0.0039018032463493213,0.016154507252319403,-3.0714285714285716,3.5
2125,0.012158534680895698,0.004332263118136312,0.01649079779903201,1.9230769230769231,3.5
2126,0.011844242043850605,0.003618126646021947,0.015462368689872552,2.933333333333333,3.5
2127,0.012109717731937125,0.003944108710128528,0.01605382644206565,4.0,3.5
2128,0.012310614527304106,0.004302010884676562,0.016612625411980667,4.6,3.5
2129,0.011552711277847709,0.0033443478487397782,0.015231493911461464,9.071428571428571,3.5
2130,0.011493735307230864,0.003289698591031023,0.014783433898261887,2.590909090909091,4.949747468305833
2131,0.011614093822718769,0.003206580067124727,0.01514133189655597,4.666666666666667,4.949747468305833
2132,0.011664855402885855,0.003355838985548577,0.016027446084099006,1.8571428571428572,3.5
2133,0.012521249380102226,0.005453960057594628,0.017975209437696853,3.0,3.5
2134,0.01229052000481612,0.004992559865022816,0.017283079869838937,7.285714285714286,3.5
2135,0.012162625112058435,0.003924485450573408,0.016087110562631842,1.6470588235294117,4.949747468305833
2136,0.01299928592545967,0.005566923861659224,0.018566209787118895,4.3076923076923075,3.5
2137,0.012128906995069421,0.003989285547819677,0.016118192542889098,-3.0588235294117645,3.5
2138,0.011849807712481873,0.003334353154931763,0.015517596182906813,4.722222222222222,4.949747468305833
2139,0.011869749495737004,0.0033287895906006087,0.015198539086337613,4.04,3.5
2140,0.012212481432869834,0.005031546859764066,0.0172440282926339,7.75,3.5
2141,0.011792243648432128,0.003361268361640908,0.015153512010073037,2.8,3.5
2142,0.011744726845626375,0.003834395805736661,0.015579122651363035,7.833333333333333,4.949747468305833
2143,0.012358235639829854,0.0047259245683498215,0.017084160208179676,9.2,3.5
2144,0.012290292758640414,0.00428518712710574,0.016575479885746154,2.0,3.5
2145,0.012249448052567322,0.004919802241025153,0.017169250293592474,13.285714285714286,4.949747468305833
2146,0.01201385709925993,0.004106267762865852,0.01612012486212578,5.357142857142857,3.5
2147,0.013200328009365216,0.006811956712422957,0.020012284721788173,9.25,3.5
2148,0.013621459877117182,0.006619081783873536,0.020240541660990718,13.444444444444445,3.5
2149,0.014217861877241162,0.00753061734058227,0.02174847921782343,6.5,3.5
2150,0.01300644231732089,0.005163710637835092,0.018170152955155984,3.888888888888889,3.5
2151,0.012498889846551451,0.004759768785623851,0.0172586586321753,-0.6666666666666666,3.5
2152,0.012283479098716327,0.004576501854356454,0.01685998095307278,5.111111111111111,3.5
2153,0.012776931130550461,0.0050413669249291864,0.01781829805547965,6.0,7.0
2154,0.012129808529077966,0.004674994818505432,0.0168048033475834,8.5,4.949747468305833
2155,0.011583307553931098,0.0036782394373685917,0.015629370935036548,4.5,4.949747468305833
2156,0.012008000853551533,0.004482107976292314,0.016490108829843846,8.777777777777779,4.949747468305833
2157,0.012186374200093456,0.003964021198673185,0.016150395398766643,6.6923076923076925,3.5
2158,0.012585247118667498,0.004678135711630127,0.017263382830297627,10.857142857142858,7.0
2159,0.012373178007219416,0.004676890749267259,0.017050068756486673,4.333333333333333,3.5
2160,0.01221227281342984,0.004867793668821887,0.01708006648225173,8.25,7.0
2161,0.012541127832455931,0.005544907046397641,0.018086034878853574,1.7777777777777777,3.5
2162,0.013012451302262142,0.006056019157240597,0.01906847045950274,-3.25,3.5
2163,0.01272227283727206,0.005636354231967956,0.018358627069240015,10.333333333333334,4.949747468305833
2164,0.012706153260185388,0.005382717296258453,0.018088870556443842,12.166666666666666,7.0
2165,0.011918499388447005,0.003092644134494258,0.015629672349840112,6.636363636363637,3.5
2166,0.012285591370546266,0.00443078087506952,0.016716372245615785,3.4375,3.5
